Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",223.320000,-124.220000,0.000000,top
"C2","1u","C_0805_2012Metric",227.270000,-124.220000,0.000000,top
"C3","1u","C_0805_2012Metric",231.000000,-122.500000,-90.000000,top
"C4","1u","C_0805_2012Metric",231.000000,-129.550000,-90.000000,top
"C5","2.2u","C_0805_2012Metric",238.000000,-139.500000,-90.000000,top
"C6","2.2u","C_0805_2012Metric",242.000000,-139.450000,-90.000000,top
"D2","PMEG4010EJ","D_SOD-323F",220.000000,-122.250000,-90.000000,top
"D3","1N4148WS","D_SOD-323",223.320000,-121.720000,180.000000,top
"D4","1N4148WS","D_SOD-323",227.320000,-121.720000,180.000000,top
"R1","2.2k","R_0603_1608Metric",251.500000,-130.900000,0.000000,top
"R2","15k","R_0603_1608Metric",238.000000,-142.500000,0.000000,top
"R3","8.2k","R_0603_1608Metric",233.000000,-142.500000,0.000000,top
"R4","22k","R_0603_1608Metric",247.000000,-142.500000,180.000000,top
"R5","33k","R_0603_1608Metric",242.000000,-142.500000,180.000000,top
"RV1","100k","Potentiometer_Bourns_3386F_Vertical",221.460000,-135.845000,-90.000000,top
"RV2","100k","Potentiometer_Bourns_3386F_Vertical",253.460000,-135.845000,-90.000000,top
"U1","TC7662Bx0A","SOIC-8_3.9x4.9mm_P1.27mm",225.500000,-128.500000,0.000000,top
"U2","AP2204K-ADJ","SOT-23-5",234.000000,-139.500000,0.000000,top
"U3","LT1964-SD","TSOT-23-5",246.000000,-139.450000,180.000000,top
